,R_P,S_P
S_F#.S#.AX6,0.297800491538601,0.7021995084613986
S_F#.S#.AX7,0.3249238442127387,0.675076155787261
S_F#.S#.AXM,0.3334045118484484,0.6665954881515507
S_F#.S#.AXP,0.35037259831388134,0.6496274016861189
S_F+,0.3271560640550996,0.6728439359449004
S_F+.S#,0.3271560640550996,0.6728439359449004
S_F+.S#.ACF,0.34537645364050173,0.6546235463594989
S_F+.S#.APP,0.25159658547810426,0.7484034145218947
S_F+.S#.AX1,0.329001262207964,0.6709987377920359
S_F+.S#.AX2,0.4423392549436875,0.5576607450563112
S_F+.S#.AX5,0.32457690136134876,0.6754230986386507
S_F+.S#.AX6,0.3274270813811552,0.672572918618844
S_F+.S#.AX7,0.28749079403837174,0.7125092059616273
S_F+.S#.AXM,0.3406612718548719,0.6593387281451286
S_F+.S#.AXP,0.41344550735917046,0.58655449264083
S_F-,0.42218145748815633,0.5778185425118433
S_F-.S#,0.42618073076253987,0.5738192692374601
S_F-.S#.ANA,0.48156578585269744,0.5184342141473014
S_F-.S#.AV5,0.44682374802989316,0.5531762519701069
S_F-.S#.AV6,0.4162231870423529,0.5837768129576466
S_F-.S#.AX5,0.4051073923799436,0.594892607620056
S_F-.S#.AX6,0.32695113008768517,0.6730488699123146
S_F-.S-,0.5946053317749052,0.40539466822509485
S_F/,0.5891542013200086,0.4108457986799911
S_F=,1.0,0.0
S_SV,0.5813042879908019,0.41869571200919664
